Sentiment,0,1,2,3,4,5
N,1.2014061714954614,1.36903135328876,1.1851378029375792,1.2345778701772832,-0.6016708654993865,-0.16058063792223523
N,1.5907507641097314,1.9491908419162671,1.620871589987525,2.3188090208013605,2.43707087944701,-0.16058063792223523
Y,1.6463714201974842,1.9491908419162671,1.591822670850862,1.5959882537186423,0.9177000069738117,-0.16058063792223523
Y,-0.6618858074442587,-0.8065667290643918,-0.7030419409455192,-0.7531792393001924,-0.6016708654993865,-0.16058063792223523
Y,-1.1902820402779106,-1.0966464733781454,-1.196873566268791,-1.1145896228415515,-0.6016708654993865,-0.16058063792223523
Y,0.14461370582815747,-0.08136736828000786,0.16842563315437242,-0.3917688557588332,-0.6016708654993865,-0.16058063792223523
N,-0.8287477757075172,-0.08136736828000786,-0.8192376174921714,-0.21106366398815363,-0.6016708654993865,-0.16058063792223523
Y,0.506147970398551,0.7888718646612528,0.6041594202043182,0.15034671955320555,-0.6016708654993865,-0.16058063792223523
Y,-0.8565581037513936,-1.0966464733781454,-0.9354332940388236,-1.2952948146122312,-0.6016708654993865,-0.16058063792223523
Y,-0.41159285504937093,-0.661526856907515,-0.4996995069888778,-0.5724740475295128,0.9177000069738117,-0.16058063792223523
N,-0.4394031830932474,-0.08136736828000786,-0.47065058785221475,-0.21106366398815363,0.9177000069738117,-0.16058063792223523
N,1.5907507641097314,1.6591110976025134,1.620871589987525,1.2345778701772832,-0.6016708654993865,-0.16058063792223523
N,-0.4672135111371238,-0.661526856907515,-0.4125527495788886,-0.7531792393001924,0.9177000069738117,-0.16058063792223523
N,-1.1346613841901578,-1.241686345535022,-1.109726808858802,-1.1145896228415515,0.9177000069738117,-0.16058063792223523
Y,-0.9956097439707757,-1.0966464733781454,-1.0806778897221387,-0.9338844310708719,-0.6016708654993865,-0.16058063792223523
Y,1.3126474836709672,0.7888718646612528,1.4175291560308838,0.8731674866359239,0.9177000069738117,-0.16058063792223523
Y,1.0901648593199558,0.2087123760337457,0.9817953689809379,0.15034671955320555,-0.6016708654993865,-0.16058063792223523
N,0.839871906925068,1.5140712254456368,0.7494040158876335,1.5959882537186423,2.43707087944701,-0.16058063792223523
N,0.5339582984424274,0.9339117368181296,0.5170126627943291,0.5117571030945647,-0.6016708654993865,-0.16058063792223523
Y,-0.16129990265448316,0.49879212034749926,-0.03491680080226894,0.6924622948652444,2.43707087944701,-0.16058063792223523
N,-0.9121787598391465,-0.661526856907515,-0.8773354557654974,-0.3917688557588332,-0.6016708654993865,-0.16058063792223523
N,1.034544203232203,1.223991481131883,0.8655996924342857,0.5117571030945647,-0.6016708654993865,-0.16058063792223523
N,-1.2180923683217872,-1.241686345535022,-1.196873566268791,-1.4760000063829108,-0.6016708654993865,-0.16058063792223523
Y,-1.1902820402779106,-1.241686345535022,-1.138775727995465,-1.2952948146122312,-0.6016708654993865,-0.16058063792223523
Y,0.8954925630128209,1.0789516089750064,0.8655996924342857,0.6924622948652444,-0.6016708654993865,-0.16058063792223523
Y,-0.9956097439707757,-0.9516066012212685,-0.9935311323121497,-1.2952948146122312,-0.6016708654993865,-0.16058063792223523
N,0.3392860021352924,0.2087123760337457,0.34271914797435077,0.5117571030945647,2.43707087944701,-0.16058063792223523
N,-0.745316791575888,-0.661526856907515,-0.7611397792188452,-0.5724740475295128,0.9177000069738117,-0.16058063792223523
N,0.08899304974040463,0.06367250387686892,0.08127887574438328,0.15034671955320555,0.9177000069738117,-0.16058063792223523
Y,-0.9956097439707757,-1.0966464733781454,-1.0516289705854758,-0.9338844310708719,-0.6016708654993865,-0.16058063792223523
